板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股 简 称,B股上市日期,所属行业
主板,四川大通燃气开发股份有限公司,"SICHUAN DATONG GAS DEVELOPMENT CO.,LTD.",000593,大通燃气,1996-03-12,,,,D 水电煤气
主板,宝塔实业股份有限公司,BAOTA INDUSTRY CO.，LTD.,000595,*ST宝实,1996-04-19,,,,C 制造业
主板,安徽古井贡酒股份有限公司,"ANHUI GUJING DISTILLERY CO.,LTD",000596,古井贡酒,1996-09-27,200596,古井贡Ｂ,1996-06-12,C 制造业
主板,东北制药集团股份有限公司,"NORTHEAST PHARMACEUTICAL GROUP CO.,LTD",000597,东北制药,1996-05-23,,,,C 制造业
主板,成都市兴蓉环境股份有限公司,"Chengdu Xingrong Environmental Co., Ltd.",000598,兴蓉环境,1996-05-29,,,,D 水电煤气
主板,青岛双星股份有限公司,"QINGDAO DOUBLESTAR CO,LTD.",000599,青岛双星,1996-04-30,,,,C 制造业
主板,河北建投能源投资股份有限公司,"JOINTO ENERGY INVESTMENT CO., LTD. HEBEI",000600,建投能源,1996-06-06,,,,D 水电煤气
主板,广东韶能集团股份有限公司,"GUANGDONG SHAONENG GROUP CO.,LTD",000601,韶能股份,1996-08-30,,,,D 水电煤气
主板,盛达金属资源股份有限公司,"Shengda Resources Co.,Ltd.",000603,盛达资源,1996-08-23,,,,B 采矿业
主板,渤海水业股份有限公司,"BOHAI WATER  INDUSTRY CO.,LTD",000605,渤海股份,1996-09-13,,,,D 水电煤气
主板,顺利办信息服务股份有限公司,"Shunliban Information Service Co.,Ltd",000606,顺利办,1996-10-04,,,,I 信息技术
主板,浙江华媒控股股份有限公司,"Zhejiang Huamei Holding CO., LTD.",000607,华媒控股,1996-08-30,,,,R 文化传播
主板,阳光新业地产股份有限公司,"YANGGUANG CO.,LTD.",000608,阳光股份,1996-09-19,,,,K 房地产
主板,北京中迪投资股份有限公司,"Beijing Zodi Investment Co., Ltd.",000609,中迪投资,1996-10-10,,,,S 综合
主板,西安旅游股份有限公司,"Xi""an Tourism Co., Ltd.",000610,西安旅游,1996-09-26,,,,N 公共环保
主板,内蒙古天首科技发展股份有限公司,"Inner Mongolia TianShou Technology&development, CO.，LTD.",000611,ST天首,1996-10-08,,,,C 制造业
主板,焦作万方铝业股份有限公司,"JiaoZuo WanFang Aluminum Manufacturing Co., Ltd",000612,焦作万方,1996-09-26,,,,C 制造业
主板,海南大东海旅游中心股份有限公司,"HAINAN DADONGHAI TOURISM CENTRE (HOLDINGS) CO.,LTD.",000613,大东海A,1997-01-28,200613,大东海B,1996-10-08,H 住宿餐饮
主板,京汉实业投资集团股份有限公司,"Kinghand  Industrial Investment Group  Co.,Ltd.",000615,京汉股份,1996-10-16,,,,K 房地产
主板,海航投资集团股份有限公司,"HNA INVESTMENT GROUP CO.,LTD.",000616,海航投资,1996-11-08,,,,K 房地产
主板,中国石油集团资本股份有限公司,CNPC Capital Company Limited,000617,中油资本,1996-10-22,,,,J 金融业
主板,芜湖海螺型材科技股份有限公司,"WUHU CONCH PROFILES AND SCIENCE CO., LTD",000619,海螺型材,1996-10-23,,,,C 制造业
